Cycle_ID,Raag_Name,Notes
1,malkauns,"S,g,m,d,n"
1,chandrakauns,"S,g,m,d,N"
1,girija,"S,G,m,d,N"
1,bhinna shadja,"S,G,m,D,N"
1,hindol,"S,G,M,D,N"
1,amritavarshini,"S,G,M,P,N"
1,marukauns,"S,G,M,P,n"
1,devashree,"S,R,M,P,n"
1,megh,"S,R,m,P,n"
1,bairagi,"S,r,m,P,n"
1,dhani,"S,g,m,P,n"
2,vibhas,"S,r,G,P,d"
2,prateeksha,"S,R,G,P,d"
2,hansadhwani,"S,R,G,P,N"
2,bhoop / deshkar,"S,R,G,P,D"
2,durga,"S,R,m,P,D"
2,megh,"S,R,m,P,n"
2,devashree,"S,R,M,P,n"
2,madhukauns,"S,g,M,P,n"
2,dhani,"S,g,m,P,n"
2,bairagi,"S,r,m,P,n"
2,gunakali,"S,r,m,P,d"
3,malkauns,"S,g,m,d,n"
3,chandrakauns,"S,g,m,d,N"
3,girija,"S,G,m,d,N"
3,bhinna shadja,"S,G,m,D,N"
3,hindol,"S,G,M,D,N"
3,amritavarshini,"S,G,M,P,N"
3,marukauns,"S,G,M,P,n"
3,madhukauns,"S,g,M,P,n"
3,devashree,"S,R,M,P,n"
3,megh,"S,R,m,P,n"
3,bairagi,"S,r,m,P,n"
3,dhani,"S,g,m,P,n"
4,bairagi todi,"S,r,g,P,n"
4,bhoopal todi,"S,r,g,P,d"
4,vibhas,"S,r,G,P,d"
4,prateeksha,"S,R,G,P,d"
4,hansadhwani,"S,R,G,P,N"
4,bhoop / deshkar,"S,R,G,P,D"
4,durga,"S,R,m,P,D"
4,megh,"S,R,m,P,n"
4,devashree,"S,R,M,P,n"
4,madhukauns,"S,g,M,P,n"
4,dhani,"S,g,m,P,n"
4,bairagi,"S,r,m,P,n"
5,bhoopal todi,"S,r,g,P,d"
5,vibhas,"S,r,G,P,d"
5,prateeksha,"S,R,G,P,d"
5,hansadhwani,"S,R,G,P,N"
5,bhoop / deshkar,"S,R,G,P,D"
5,durga,"S,R,m,P,D"
5,megh,"S,R,m,P,n"
5,devashree,"S,R,M,P,n"
5,madhukauns,"S,g,M,P,n"
5,dhani,"S,g,m,P,n"
5,bairagi,"S,r,m,P,n"
5,gunakali,"S,r,m,P,d"
6,vibhas,"S,r,G,P,d"
6,prateeksha,"S,R,G,P,d"
6,hansadhwani,"S,R,G,P,N"
6,bhoop / deshkar,"S,R,G,P,D"
6,shivaranjani,"S,R,g,P,D"
6,durga,"S,R,m,P,D"
6,megh,"S,R,m,P,n"
6,devashree,"S,R,M,P,n"
6,madhukauns,"S,g,M,P,n"
6,dhani,"S,g,m,P,n"
6,bairagi,"S,r,m,P,n"
6,gunakali,"S,r,m,P,d"
7,vibhas,"S,r,G,P,d"
7,prateeksha,"S,R,G,P,d"
7,hansadhwani,"S,R,G,P,N"
7,bhoop / deshkar,"S,R,G,P,D"
7,durga,"S,R,m,P,D"
7,megh,"S,R,m,P,n"
7,devashree,"S,R,M,P,n"
7,madhukauns,"S,g,M,P,n"
7,dhani,"S,g,m,P,n"
7,bairagi,"S,r,m,P,n"
7,manoranjani,"S,r,m,P,D"
7,gunakali,"S,r,m,P,d"
8,vibhas,"S,r,G,P,d"
8,prateeksha,"S,R,G,P,d"
8,hansadhwani,"S,R,G,P,N"
8,bhoop / deshkar,"S,R,G,P,D"
8,durga,"S,R,m,P,D"
8,megh,"S,R,m,P,n"
8,devashree,"S,R,M,P,n"
8,marukauns,"S,G,M,P,n"
8,madhukauns,"S,g,M,P,n"
8,dhani,"S,g,m,P,n"
8,bairagi,"S,r,m,P,n"
8,gunakali,"S,r,m,P,d"
9,malkauns,"S,g,m,d,n"
9,chandrakauns,"S,g,m,d,N"
9,girija,"S,G,m,d,N"
9,bhinna shadja,"S,G,m,D,N"
9,hindol,"S,G,M,D,N"
9,amritavarshini,"S,G,M,P,N"
9,marukauns,"S,G,M,P,n"
9,devashree,"S,R,M,P,n"
9,megh,"S,R,m,P,n"
9,durga,"S,R,m,P,D"
9,manoranjani,"S,r,m,P,D"
9,bairagi,"S,r,m,P,n"
9,dhani,"S,g,m,P,n"
10,bairagi todi,"S,r,g,P,n"
10,bhoopal todi,"S,r,g,P,d"
10,vibhas,"S,r,G,P,d"
10,prateeksha,"S,R,G,P,d"
10,hansadhwani,"S,R,G,P,N"
10,bhoop / deshkar,"S,R,G,P,D"
10,shivaranjani,"S,R,g,P,D"
10,durga,"S,R,m,P,D"
10,megh,"S,R,m,P,n"
10,devashree,"S,R,M,P,n"
10,madhukauns,"S,g,M,P,n"
10,dhani,"S,g,m,P,n"
10,bairagi,"S,r,m,P,n"
11,bairagi todi,"S,r,g,P,n"
11,bhoopal todi,"S,r,g,P,d"
11,vibhas,"S,r,G,P,d"
11,prateeksha,"S,R,G,P,d"
11,hansadhwani,"S,R,G,P,N"
11,bhoop / deshkar,"S,R,G,P,D"
11,durga,"S,R,m,P,D"
11,megh,"S,R,m,P,n"
11,devashree,"S,R,M,P,n"
11,marukauns,"S,G,M,P,n"
11,madhukauns,"S,g,M,P,n"
11,dhani,"S,g,m,P,n"
11,bairagi,"S,r,m,P,n"
12,bairagi todi,"S,r,g,P,n"
12,bhoopal todi,"S,r,g,P,d"
12,gunakali,"S,r,m,P,d"
12,vibhas,"S,r,G,P,d"
12,prateeksha,"S,R,G,P,d"
12,hansadhwani,"S,R,G,P,N"
12,bhoop / deshkar,"S,R,G,P,D"
12,durga,"S,R,m,P,D"
12,megh,"S,R,m,P,n"
12,devashree,"S,R,M,P,n"
12,madhukauns,"S,g,M,P,n"
12,dhani,"S,g,m,P,n"
12,bairagi,"S,r,m,P,n"
13,bhoopal todi,"S,r,g,P,d"
13,vibhas,"S,r,G,P,d"
13,prateeksha,"S,R,G,P,d"
13,hansadhwani,"S,R,G,P,N"
13,bhoop / deshkar,"S,R,G,P,D"
13,shivaranjani,"S,R,g,P,D"
13,durga,"S,R,m,P,D"
13,megh,"S,R,m,P,n"
13,devashree,"S,R,M,P,n"
13,madhukauns,"S,g,M,P,n"
13,dhani,"S,g,m,P,n"
13,bairagi,"S,r,m,P,n"
13,gunakali,"S,r,m,P,d"
14,bhoopal todi,"S,r,g,P,d"
14,vibhas,"S,r,G,P,d"
14,prateeksha,"S,R,G,P,d"
14,hansadhwani,"S,R,G,P,N"
14,bhoop / deshkar,"S,R,G,P,D"
14,durga,"S,R,m,P,D"
14,megh,"S,R,m,P,n"
14,devashree,"S,R,M,P,n"
14,madhukauns,"S,g,M,P,n"
14,dhani,"S,g,m,P,n"
14,bairagi,"S,r,m,P,n"
14,manoranjani,"S,r,m,P,D"
14,gunakali,"S,r,m,P,d"
15,bhoopal todi,"S,r,g,P,d"
15,vibhas,"S,r,G,P,d"
15,prateeksha,"S,R,G,P,d"
15,hansadhwani,"S,R,G,P,N"
15,bhoop / deshkar,"S,R,G,P,D"
15,durga,"S,R,m,P,D"
15,megh,"S,R,m,P,n"
15,devashree,"S,R,M,P,n"
15,marukauns,"S,G,M,P,n"
15,madhukauns,"S,g,M,P,n"
15,dhani,"S,g,m,P,n"
15,bairagi,"S,r,m,P,n"
15,gunakali,"S,r,m,P,d"
16,vibhas,"S,r,G,P,d"
16,prateeksha,"S,R,G,P,d"
16,hansadhwani,"S,R,G,P,N"
16,bhoop / deshkar,"S,R,G,P,D"
16,shivaranjani,"S,R,g,P,D"
16,durga,"S,R,m,P,D"
16,megh,"S,R,m,P,n"
16,devashree,"S,R,M,P,n"
16,madhukauns,"S,g,M,P,n"
16,dhani,"S,g,m,P,n"
16,bairagi,"S,r,m,P,n"
16,manoranjani,"S,r,m,P,D"
16,gunakali,"S,r,m,P,d"
17,vibhas,"S,r,G,P,d"
17,prateeksha,"S,R,G,P,d"
17,hansadhwani,"S,R,G,P,N"
17,bhoop / deshkar,"S,R,G,P,D"
17,shivaranjani,"S,R,g,P,D"
17,durga,"S,R,m,P,D"
17,megh,"S,R,m,P,n"
17,devashree,"S,R,M,P,n"
17,marukauns,"S,G,M,P,n"
17,madhukauns,"S,g,M,P,n"
17,dhani,"S,g,m,P,n"
17,bairagi,"S,r,m,P,n"
17,gunakali,"S,r,m,P,d"
18,vibhas,"S,r,G,P,d"
18,prateeksha,"S,R,G,P,d"
18,hansadhwani,"S,R,G,P,N"
18,bhoop / deshkar,"S,R,G,P,D"
18,durga,"S,R,m,P,D"
