id,raag,phrase,len,df,idf,turns,kept
AheerBhairav#6,AheerBhairav,",n ,D ,n r S",5,1,2.759,2,1
AheerBhairav#5,AheerBhairav,G m P m r S,6,1,1.761,1,1
AheerBhairav#4,AheerBhairav,n D P m G m,6,1,1.319,1,1
AheerBhairav#1,AheerBhairav,D n D,3,12,1.686,1,0
AheerBhairav#2,AheerBhairav,P D P,3,17,1.259,1,0
AheerBhairav#3,AheerBhairav,`S n D,3,32,1.062,0,0
AheerBhairav#0,AheerBhairav,G m P,3,26,1.058,0,0
AlhaiyaBilawal#0,AlhaiyaBilawal,G R G P,4,4,2.089,1,1
AlhaiyaBilawal#3,AlhaiyaBilawal,G P D N `S,5,2,1.773,0,1
AlhaiyaBilawal#1,AlhaiyaBilawal,D n D P,4,5,1.495,1,1
AlhaiyaBilawal#2,AlhaiyaBilawal,m G R,3,15,1.597,0,0
Bageshree#0,Bageshree,",n S m",3,1,2.742,0,1
Bageshree#4,Bageshree,m D n D,4,3,1.895,1,1
Bageshree#1,Bageshree,S g m,3,11,1.965,0,0
Bageshree#5,Bageshree,m g R S,4,10,1.625,0,0
Bageshree#2,Bageshree,g R S,3,15,1.512,0,0
Bageshree#3,Bageshree,",n ,D",2,36,1.17,0,0
Bahar#3,Bahar,m n D N `S,5,1,2.322,2,1
Bahar#1,Bahar,P m g m,4,7,1.592,1,1
Bahar#6,Bahar,g m R S,4,9,1.529,1,1
Bahar#0,Bahar,S m,2,11,2.356,0,0
Bahar#2,Bahar,n P m,3,16,1.45,0,0
Bahar#4,Bahar,n P m,3,16,1.45,0,0
Bahar#5,Bahar,P m,2,60,0.659,0,0
Bairagi#1,Bairagi,r P m r S,5,1,2.787,1,1
Bairagi#2,Bairagi,",n S r S",4,1,2.154,1,1
Bairagi#0,Bairagi,m P n P m r,6,1,1.956,1,1
Basant#3,Basant,M d G M G,5,1,3.488,3,1
Basant#0,Basant,M d `r `S,4,1,3.269,1,1
Basant#2,Basant,G M d N M G,6,1,3.245,1,1
Basant#4,Basant,M G M G r S,6,1,2.275,2,1
Basant#1,Basant,N `S `r N d P,6,1,2.237,1,1
Bhairav#2,Bhairav,G m d P,4,3,2.307,1,1
Bhairav#3,Bhairav,G m r S,4,3,2.288,1,1
Bhairav#1,Bhairav,d P,2,27,1.458,0,0
Bhairav#0,Bhairav,r S,2,31,1.32,0,0
Bhairav#4,Bhairav,",N S",2,51,0.822,0,0
Bhairavi#2,Bhairavi,d m d n `S,5,1,2.579,1,1
Bhairavi#3,Bhairavi,`r `S d P g m r S,8,1,2.56,2,1
Bhairavi#0,Bhairavi,g S r S,4,1,2.523,2,1
Bhairavi#1,Bhairavi,g m P,3,13,1.457,0,0
Bheempalasi#0,Bheempalasi,",n S g m P",5,3,1.818,0,1
Bheempalasi#3,Bheempalasi,m g R S,4,10,1.625,0,0
Bheempalasi#1,Bheempalasi,n D P,3,24,1.196,0,0
Bheempalasi#2,Bheempalasi,n D P,3,24,1.196,0,0
Bhoopali#4,Bhoopali,P G R G,4,3,2.013,1,1
Bhoopali#3,Bhoopali,`S D P G,4,2,1.865,0,1
