phrase_id,raag,phrase,clip_id,video,t0,t1,cost,pitch_cost,orn_frac,gap_frac
Bageshree#0,Bageshree,",n S m",Bageshree/train_[8ldBWSCfR0Q]_chunk0.mp3,8ldBWSCfR0Q,1.17,1.58,0.0,0.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[rUoWx__itDo]_chunk3.mp3,rUoWx__itDo,18.12,18.79,0.0,0.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[FCw-Jo9_P8o]_chunk0.mp3,FCw-Jo9_P8o,13.64,14.06,0.046,0.046,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[rUoWx__itDo]_chunk4.mp3,rUoWx__itDo,17.35,17.65,0.051,0.051,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[wJPV6sIjWv4]_chunk4.mp3,wJPV6sIjWv4,5.92,7.32,0.066,0.0,0.039,0.026
Bageshree#0,Bageshree,",n S m",Bageshree/train_[IaWMS9vmWRM]_chunk0.mp3,IaWMS9vmWRM,8.48,9.03,0.08,0.0,0.0,0.08
Bageshree#0,Bageshree,",n S m",Bageshree/train_[FCw-Jo9_P8o]_chunk1.mp3,FCw-Jo9_P8o,10.56,10.93,0.096,0.096,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[FCw-Jo9_P8o]_chunk3.mp3,FCw-Jo9_P8o,18.49,18.92,0.104,0.104,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[IaWMS9vmWRM]_chunk4.mp3,IaWMS9vmWRM,9.88,12.82,0.13,0.13,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[FCw-Jo9_P8o]_chunk3.mp3,FCw-Jo9_P8o,2.74,3.06,0.146,0.146,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[p36qxVRg6kw]_chunk2.mp3,p36qxVRg6kw,15.5,15.88,0.158,0.0,0.158,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[rUoWx__itDo]_chunk3.mp3,rUoWx__itDo,12.69,13.3,0.212,0.0,0.212,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[QaE7GojryQE]_chunk1.mp3,QaE7GojryQE,4.84,5.39,0.233,0.0,0.233,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[wJPV6sIjWv4]_chunk3.mp3,wJPV6sIjWv4,9.39,9.83,0.28,0.0,0.28,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[FCw-Jo9_P8o]_chunk0.mp3,FCw-Jo9_P8o,7.56,8.53,0.296,0.196,0.1,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[wJPV6sIjWv4]_chunk1.mp3,wJPV6sIjWv4,5.83,6.49,0.314,0.0,0.314,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[rUoWx__itDo]_chunk4.mp3,rUoWx__itDo,15.48,15.82,0.368,0.0,0.368,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[uPLSOevIK-4]_chunk0.mp3,uPLSOevIK-4,2.44,2.72,0.395,0.395,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[rUoWx__itDo]_chunk0.mp3,rUoWx__itDo,1.67,2.29,0.429,0.401,0.0,0.029
Bageshree#0,Bageshree,",n S m",Bageshree/train_[IaWMS9vmWRM]_chunk1.mp3,IaWMS9vmWRM,18.52,19.11,0.492,0.28,0.212,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[wJPV6sIjWv4]_chunk2.mp3,wJPV6sIjWv4,15.16,15.72,0.497,0.239,0.258,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[FCw-Jo9_P8o]_chunk3.mp3,FCw-Jo9_P8o,17.69,17.97,0.559,0.493,0.0,0.067
Bageshree#0,Bageshree,",n S m",Bageshree/train_[rUoWx__itDo]_chunk2.mp3,rUoWx__itDo,19.04,19.43,0.718,0.4,0.318,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[8ldBWSCfR0Q]_chunk0.mp3,8ldBWSCfR0Q,10.29,10.72,0.741,0.349,0.391,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[FCw-Jo9_P8o]_chunk1.mp3,FCw-Jo9_P8o,3.04,3.4,0.742,0.742,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[uPLSOevIK-4]_chunk3.mp3,uPLSOevIK-4,17.92,18.36,0.798,0.398,0.4,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[uPLSOevIK-4]_chunk2.mp3,uPLSOevIK-4,11.88,14.1,0.803,0.795,0.008,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[p36qxVRg6kw]_chunk0.mp3,p36qxVRg6kw,2.26,7.59,0.816,0.8,0.016,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[uPLSOevIK-4]_chunk2.mp3,uPLSOevIK-4,11.88,12.52,0.823,0.795,0.028,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[p36qxVRg6kw]_chunk3.mp3,p36qxVRg6kw,1.42,1.76,0.84,0.524,0.263,0.053
Bageshree#0,Bageshree,",n S m",Bageshree/train_[p36qxVRg6kw]_chunk0.mp3,p36qxVRg6kw,2.26,3.56,0.857,0.8,0.057,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[FCw-Jo9_P8o]_chunk3.mp3,FCw-Jo9_P8o,10.06,10.33,0.858,0.658,0.2,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[FCw-Jo9_P8o]_chunk0.mp3,FCw-Jo9_P8o,16.39,17.4,0.889,0.792,0.0,0.097
Bageshree#0,Bageshree,",n S m",Bageshree/train_[p36qxVRg6kw]_chunk0.mp3,p36qxVRg6kw,2.26,2.63,0.99,0.8,0.19,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[FCw-Jo9_P8o]_chunk2.mp3,FCw-Jo9_P8o,4.55,5.33,1.0,0.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[8ldBWSCfR0Q]_chunk0.mp3,8ldBWSCfR0Q,16.62,17.33,1.01,0.01,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[FCw-Jo9_P8o]_chunk1.mp3,FCw-Jo9_P8o,9.0,9.44,1.023,0.023,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[wJPV6sIjWv4]_chunk2.mp3,wJPV6sIjWv4,5.17,5.51,1.045,0.045,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[FCw-Jo9_P8o]_chunk1.mp3,FCw-Jo9_P8o,18.72,19.18,1.046,0.046,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[8ldBWSCfR0Q]_chunk1.mp3,8ldBWSCfR0Q,6.92,7.24,1.099,1.099,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[FCw-Jo9_P8o]_chunk2.mp3,FCw-Jo9_P8o,2.35,2.63,1.105,1.042,0.062,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[uPLSOevIK-4]_chunk4.mp3,uPLSOevIK-4,6.06,6.44,1.131,0.75,0.381,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[FCw-Jo9_P8o]_chunk3.mp3,FCw-Jo9_P8o,1.14,1.42,1.154,0.154,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[p36qxVRg6kw]_chunk3.mp3,p36qxVRg6kw,4.59,4.85,1.202,1.202,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[QaE7GojryQE]_chunk1.mp3,QaE7GojryQE,6.04,6.38,1.323,0.955,0.211,0.158
Bageshree#0,Bageshree,",n S m",Bageshree/train_[QaE7GojryQE]_chunk3.mp3,QaE7GojryQE,5.32,6.03,1.362,0.055,0.256,0.051
Bageshree#0,Bageshree,",n S m",Bageshree/train_[FCw-Jo9_P8o]_chunk0.mp3,FCw-Jo9_P8o,10.67,11.18,1.446,0.407,0.038,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[8ldBWSCfR0Q]_chunk3.mp3,8ldBWSCfR0Q,5.53,6.51,1.498,0.498,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[rUoWx__itDo]_chunk4.mp3,rUoWx__itDo,11.45,11.66,1.5,1.5,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[wJPV6sIjWv4]_chunk2.mp3,wJPV6sIjWv4,13.28,13.96,1.552,0.289,0.263,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[uPLSOevIK-4]_chunk3.mp3,uPLSOevIK-4,19.36,20.0,1.651,1.595,0.0,0.056
Bageshree#0,Bageshree,",n S m",Bageshree/train_[wJPV6sIjWv4]_chunk4.mp3,wJPV6sIjWv4,16.82,17.55,1.821,0.455,0.366,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[p36qxVRg6kw]_chunk0.mp3,p36qxVRg6kw,10.79,11.2,1.952,1.648,0.174,0.13
Bageshree#0,Bageshree,",n S m",Bageshree/train_[FCw-Jo9_P8o]_chunk2.mp3,FCw-Jo9_P8o,7.2,7.52,2.142,2.142,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[p36qxVRg6kw]_chunk1.mp3,p36qxVRg6kw,14.67,15.04,2.195,1.052,0.143,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[FCw-Jo9_P8o]_chunk1.mp3,FCw-Jo9_P8o,12.0,12.48,2.243,1.243,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[p36qxVRg6kw]_chunk1.mp3,p36qxVRg6kw,19.41,19.79,2.345,1.202,0.0,0.143
Bageshree#0,Bageshree,",n S m",Bageshree/train_[uPLSOevIK-4]_chunk0.mp3,uPLSOevIK-4,12.44,12.78,2.345,2.345,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[rUoWx__itDo]_chunk2.mp3,rUoWx__itDo,15.7,15.91,2.351,2.101,0.0,0.25
Bageshree#0,Bageshree,",n S m",Bageshree/train_[rUoWx__itDo]_chunk4.mp3,rUoWx__itDo,3.5,3.77,2.416,1.349,0.0,0.067
Bageshree#0,Bageshree,",n S m",Bageshree/train_[wJPV6sIjWv4]_chunk2.mp3,wJPV6sIjWv4,3.63,4.14,2.555,2.211,0.276,0.069
Bageshree#0,Bageshree,",n S m",Bageshree/train_[IaWMS9vmWRM]_chunk1.mp3,IaWMS9vmWRM,3.4,3.66,2.69,2.69,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[uPLSOevIK-4]_chunk4.mp3,uPLSOevIK-4,6.65,6.9,2.748,2.748,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[uPLSOevIK-4]_chunk4.mp3,uPLSOevIK-4,4.75,5.0,2.769,2.555,0.143,0.071
Bageshree#0,Bageshree,",n S m",Bageshree/train_[IaWMS9vmWRM]_chunk4.mp3,IaWMS9vmWRM,17.9,18.47,2.87,1.87,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[IaWMS9vmWRM]_chunk3.mp3,IaWMS9vmWRM,8.3,8.6,2.93,2.93,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[QaE7GojryQE]_chunk4.mp3,QaE7GojryQE,12.41,12.64,2.973,2.973,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[QaE7GojryQE]_chunk4.mp3,QaE7GojryQE,14.76,14.97,2.973,2.973,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[8ldBWSCfR0Q]_chunk2.mp3,8ldBWSCfR0Q,6.76,7.47,2.999,2.649,0.35,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[8ldBWSCfR0Q]_chunk0.mp3,8ldBWSCfR0Q,16.62,16.91,3.0,3.0,0.0,0.0
Bageshree#0,Bageshree,",n S m",Bageshree/train_[8ldBWSCfR0Q]_chunk1.mp3,8ldBWSCfR0Q,13.9,14.12,3.0,3.0,0.0,0.0
