phrase_id,phrase,idf,clips,median_best_cost,clips_best_lt_0.2,clips_best_lt_0.4
Bageshree#0,",n S m",2.742,40,0.81,10,14
Bageshree#4,m D n D,1.895,40,0.71,8,15
Bhoopali#3,`S D P G,1.865,35,3.0,5,7
Bhoopali#4,P G R G,2.013,35,1.27,9,13
DarbariKanada#0,S R g R g,2.369,30,0.65,10,12
DarbariKanada#1,m P d P d n P,2.196,30,3.0,0,1
DarbariKanada#2,n m P `S,2.64,30,3.0,1,1
DarbariKanada#3,`S n d n P m P m g m R S,1.814,30,3.0,0,0
Lalit#0,",N r G m M m G r S",2.959,45,3.0,0,0
Lalit#1,G M d N d M m,3.219,45,3.0,0,0
Lalit#2,`r N d M m,3.361,45,2.79,1,2
Lalit#3,G m M m,3.806,45,0.63,8,20
Lalit#4,M G r S,2.027,45,1.45,7,8
Malhar#2,g m R S,1.529,35,1.58,8,12
Malhar#3,",n D ,N S",1.927,35,0.43,9,17
Malkauns#0,",d ,n S g m",2.053,50,3.0,3,5
Malkauns#1,g m n d m,2.932,50,3.0,0,0
Malkauns#3,`g `S n d,2.059,50,1.08,11,17
PuriyaDhanashri#0,",N r G M P",2.584,35,1.85,1,3
PuriyaDhanashri#1,P M G M r G,2.895,35,3.0,2,3
PuriyaDhanashri#2,M d P,2.827,35,0.44,15,17
PuriyaDhanashri#3,M d N `S,2.291,35,1.81,3,7
PuriyaDhanashri#6,P d P M G M r G,2.712,35,3.0,0,0
Shree#0,"S ,N r",2.48,45,0.08,29,34
Shree#2,M P d M G r G r S,2.663,45,3.0,2,3
Shree#3,M P N `S `r,1.903,45,1.89,5,7
Shree#4,`r N d P,2.334,45,1.83,6,8
Shree#5,M d M G r,2.983,45,1.5,6,10
