phrase_id,raag,phrase,len,idf,n_own,n_legal_raags,auc_legal,auc_legal_video,auc_twin,auc_shuffle,hit_at_fpr,med_own,med_legal,med_illegal,passes
AheerBhairav#4,AheerBhairav,n D P m G m,6,1.319,55,5,0.44,0.531,nan,0.691,0.073,3.0,1.6,3.0,False
AheerBhairav#5,AheerBhairav,G m P m r S,6,1.761,55,1,0.485,0.341,nan,0.657,0.091,3.0,3.0,3.0,False
AheerBhairav#6,AheerBhairav,",n ,D ,n r S",5,2.759,55,0,nan,nan,nan,0.735,nan,0.92,nan,1.71,False
AlhaiyaBilawal#0,AlhaiyaBilawal,G R G P,4,2.089,50,14,0.619,0.701,0.627,0.628,0.3,0.57,2.1,2.92,False
AlhaiyaBilawal#1,AlhaiyaBilawal,D n D P,4,1.495,50,11,0.526,0.597,0.513,0.605,0.2,0.38,0.5,1.37,False
AlhaiyaBilawal#3,AlhaiyaBilawal,G P D N `S,5,1.773,50,11,0.574,0.785,0.599,0.725,0.22,2.38,3.0,3.0,False
Bageshree#0,Bageshree,",n S m",3,2.742,40,19,0.62,0.72,0.625,0.7,0.25,0.81,1.75,2.0,False
Bageshree#4,Bageshree,m D n D,4,1.895,40,10,0.6,0.649,0.595,0.703,0.2,0.71,1.65,2.58,False
Bahar#1,Bahar,P m g m,4,1.592,15,11,0.555,0.568,0.6,0.609,0.067,0.82,1.36,1.4,False
Bahar#3,Bahar,m n D N `S,5,2.322,15,6,0.755,0.928,0.697,0.777,0.533,0.54,3.0,3.0,True
Bahar#6,Bahar,g m R S,4,1.529,15,8,0.506,0.586,0.48,0.544,0.133,2.43,2.22,1.71,False
Bairagi#0,Bairagi,m P n P m r,6,1.956,40,2,0.506,0.604,nan,0.576,0.1,3.0,3.0,3.0,False
Bairagi#1,Bairagi,r P m r S,5,2.787,40,3,0.564,0.646,nan,0.641,0.1,3.0,3.0,3.0,False
Bairagi#2,Bairagi,",n S r S",4,2.154,40,2,0.575,0.517,nan,0.571,0.2,0.31,0.5,1.08,False
Basant#0,Basant,M d `r `S,4,3.269,25,5,0.598,0.6,0.593,0.785,0.12,1.65,1.88,2.05,False
Basant#1,Basant,N `S `r N d P,6,2.237,25,5,0.575,0.441,0.589,0.822,0.08,1.43,1.85,1.82,False
Basant#2,Basant,G M d N M G,6,3.245,25,3,0.455,0.344,0.466,0.478,0.04,3.0,3.0,3.0,False
Basant#3,Basant,M d G M G,5,3.488,25,3,0.431,0.4,0.488,0.504,0.08,2.98,2.89,2.39,False
Basant#4,Basant,M G M G r S,6,2.275,25,6,0.527,0.522,0.53,0.715,0.2,3.0,3.0,3.0,False
Bhairav#2,Bhairav,G m d P,4,2.307,30,2,0.604,0.576,nan,0.593,0.067,0.65,0.96,1.53,False
Bhairav#3,Bhairav,G m r S,4,2.288,30,2,0.457,0.537,nan,0.747,0.067,1.27,1.09,2.03,False
Bhairavi#0,Bhairavi,g S r S,4,2.523,20,2,0.648,0.792,nan,0.566,0.25,0.58,0.83,1.28,False
