[m3] 5184 configs
  10/5184  0.2s/config
  20/5184  0.1s/config
  30/5184  0.1s/config
  40/5184  0.1s/config
  50/5184  0.1s/config
  60/5184  0.1s/config
  70/5184  0.1s/config
  80/5184  0.1s/config
  90/5184  0.1s/config
  100/5184  0.1s/config
  110/5184  0.1s/config
  120/5184  0.1s/config
  130/5184  0.1s/config
  140/5184  0.1s/config
  150/5184  0.1s/config
  160/5184  0.1s/config
  170/5184  0.1s/config
  180/5184  0.1s/config
  190/5184  0.1s/config
  200/5184  0.1s/config
  210/5184  0.1s/config
  220/5184  0.1s/config
  230/5184  0.1s/config
  240/5184  0.1s/config
  250/5184  0.1s/config
  260/5184  0.1s/config
  270/5184  0.1s/config
  280/5184  0.1s/config
  290/5184  0.1s/config
  300/5184  0.1s/config
  310/5184  0.1s/config
  320/5184  0.1s/config
  330/5184  0.1s/config
  340/5184  0.1s/config
  350/5184  0.1s/config
  360/5184  0.1s/config
  370/5184  0.1s/config
  380/5184  0.1s/config
  390/5184  0.1s/config
  400/5184  0.1s/config
  410/5184  0.1s/config
  420/5184  0.1s/config
  430/5184  0.1s/config
  440/5184  0.1s/config
  450/5184  0.1s/config
  460/5184  0.1s/config
  470/5184  0.1s/config
  480/5184  0.1s/config
  490/5184  0.1s/config
  500/5184  0.1s/config
  510/5184  0.1s/config
  520/5184  0.1s/config
  530/5184  0.1s/config
  540/5184  0.1s/config
  550/5184  0.1s/config
  560/5184  0.1s/config
  570/5184  0.1s/config
  580/5184  0.1s/config
  590/5184  0.1s/config
  600/5184  0.1s/config
  610/5184  0.1s/config
  620/5184  0.1s/config
  630/5184  0.1s/config
  640/5184  0.1s/config
  650/5184  0.1s/config
  660/5184  0.1s/config
  670/5184  0.1s/config
  680/5184  0.1s/config
  690/5184  0.1s/config
  700/5184  0.1s/config
  710/5184  0.1s/config
  720/5184  0.1s/config
  730/5184  0.1s/config
  740/5184  0.1s/config
  750/5184  0.1s/config
  760/5184  0.1s/config
  770/5184  0.1s/config
  780/5184  0.1s/config
  790/5184  0.1s/config
  800/5184  0.1s/config
  810/5184  0.1s/config
  820/5184  0.1s/config
  830/5184  0.1s/config
  840/5184  0.1s/config
  850/5184  0.1s/config
  860/5184  0.1s/config
  870/5184  0.1s/config
  880/5184  0.1s/config
  890/5184  0.1s/config
  900/5184  0.1s/config
  910/5184  0.1s/config
  920/5184  0.1s/config
  930/5184  0.1s/config
  940/5184  0.1s/config
  950/5184  0.1s/config
  960/5184  0.1s/config
  970/5184  0.1s/config
  980/5184  0.1s/config
  990/5184  0.1s/config
  1000/5184  0.1s/config
  1010/5184  0.1s/config
  1020/5184  0.1s/config
  1030/5184  0.1s/config
  1040/5184  0.1s/config
  1050/5184  0.1s/config
  1060/5184  0.1s/config
  1070/5184  0.1s/config
  1080/5184  0.1s/config
  1090/5184  0.1s/config
  1100/5184  0.1s/config
  1110/5184  0.1s/config
  1120/5184  0.1s/config
  1130/5184  0.1s/config
  1140/5184  0.1s/config
  1150/5184  0.1s/config
  1160/5184  0.1s/config
  1170/5184  0.1s/config
  1180/5184  0.1s/config
  1190/5184  0.1s/config
  1200/5184  0.1s/config
  1210/5184  0.1s/config
  1220/5184  0.1s/config
  1230/5184  0.1s/config
  1240/5184  0.1s/config
  1250/5184  0.1s/config
  1260/5184  0.1s/config
  1270/5184  0.1s/config
  1280/5184  0.1s/config
  1290/5184  0.1s/config
  1300/5184  0.1s/config
  1310/5184  0.1s/config
  1320/5184  0.1s/config
  1330/5184  0.1s/config
  1340/5184  0.1s/config
  1350/5184  0.1s/config
  1360/5184  0.1s/config
  1370/5184  0.1s/config
  1380/5184  0.1s/config
  1390/5184  0.1s/config
  1400/5184  0.1s/config
  1410/5184  0.1s/config
  1420/5184  0.1s/config
  1430/5184  0.1s/config
  1440/5184  0.1s/config
  1450/5184  0.1s/config
  1460/5184  0.1s/config
  1470/5184  0.1s/config
  1480/5184  0.1s/config
  1490/5184  0.1s/config
  1500/5184  0.1s/config
  1510/5184  0.1s/config
  1520/5184  0.1s/config
  1530/5184  0.1s/config
  1540/5184  0.1s/config
  1550/5184  0.1s/config
  1560/5184  0.1s/config
  1570/5184  0.1s/config
  1580/5184  0.1s/config
  1590/5184  0.1s/config
  1600/5184  0.1s/config
  1610/5184  0.1s/config
