[m7] 16 configs
  10/16  21.6s/config
[m7] best 12:
  top1 0.150±0.038  top5 0.389  vid 0.171  {'tracker': 'tony', 'note_source': 'hmm', 'tonic_mode': 'video', 'tonic_refine': True, 'min_dur': 0.0, 'max_cents_dev': 2400.0, 'collapse_repeats': True, 'use_channel': True, 'channel_kw': {'p_self': 0.2, 'prior': 5.0, 'emission_temp': 0.3, 'w_dur': 1.0}, 'base_kw': {'lam_bi': 0.7, 'lam_uni': 0.1, 'uni_from_scale': 0.75}, 'w_crepe': 1.0, 'calibrate': 'zscore', 'marginalise_tonic': True, 'temperature': 0.1}
  top1 0.138±0.026  top5 0.327  vid 0.145  {'tracker': 'tony', 'note_source': 'hmm', 'tonic_mode': 'video', 'tonic_refine': True, 'min_dur': 0.0, 'max_cents_dev': 2400.0, 'collapse_repeats': True, 'use_channel': False, 'channel_kw': {'p_self': 0.2, 'prior': 5.0, 'emission_temp': 0.3, 'w_dur': 1.0}, 'base_kw': {'lam_bi': 0.7, 'lam_uni': 0.1, 'uni_from_scale': 0.75}, 'w_crepe': 1.0, 'calibrate': 'zscore', 'marginalise_tonic': False, 'temperature': 0.1}
  top1 0.137±0.020  top5 0.315  vid 0.155  {'tracker': 'tony', 'note_source': 'hmm', 'tonic_mode': 'video', 'tonic_refine': True, 'min_dur': 0.0, 'max_cents_dev': 2400.0, 'collapse_repeats': True, 'use_channel': True, 'channel_kw': {'p_self': 0.2, 'prior': 5.0, 'emission_temp': 0.3, 'w_dur': 1.0}, 'base_kw': {'lam_bi': 0.7, 'lam_uni': 0.1, 'uni_from_scale': 0.75}, 'w_crepe': 1.0, 'calibrate': 'zscore', 'marginalise_tonic': False, 'temperature': 0.1}
  top1 0.135±0.040  top5 0.354  vid 0.147  {'tracker': 'tony', 'note_source': 'hmm', 'tonic_mode': 'video', 'tonic_refine': True, 'min_dur': 0.0, 'max_cents_dev': 2400.0, 'collapse_repeats': True, 'use_channel': True, 'channel_kw': {'p_self': 0.2, 'prior': 5.0, 'emission_temp': 0.3, 'w_dur': 1.0}, 'base_kw': {'lam_bi': 0.7, 'lam_uni': 0.1, 'uni_from_scale': 0.75}, 'w_crepe': 0.0, 'calibrate': 'none', 'marginalise_tonic': True, 'temperature': 0.1}
  top1 0.134±0.038  top5 0.358  vid 0.140  {'tracker': 'tony', 'note_source': 'hmm', 'tonic_mode': 'video', 'tonic_refine': True, 'min_dur': 0.0, 'max_cents_dev': 2400.0, 'collapse_repeats': True, 'use_channel': True, 'channel_kw': {'p_self': 0.2, 'prior': 5.0, 'emission_temp': 0.3, 'w_dur': 1.0}, 'base_kw': {'lam_bi': 0.7, 'lam_uni': 0.1, 'uni_from_scale': 0.75}, 'w_crepe': 1.0, 'calibrate': 'none', 'marginalise_tonic': True, 'temperature': 0.1}
  top1 0.132±0.026  top5 0.365  vid 0.163  {'tracker': 'tony', 'note_source': 'hmm', 'tonic_mode': 'video', 'tonic_refine': True, 'min_dur': 0.0, 'max_cents_dev': 2400.0, 'collapse_repeats': True, 'use_channel': False, 'channel_kw': {'p_self': 0.2, 'prior': 5.0, 'emission_temp': 0.3, 'w_dur': 1.0}, 'base_kw': {'lam_bi': 0.7, 'lam_uni': 0.1, 'uni_from_scale': 0.75}, 'w_crepe': 1.0, 'calibrate': 'zscore', 'marginalise_tonic': True, 'temperature': 0.1}
  top1 0.130±0.025  top5 0.358  vid 0.145  {'tracker': 'tony', 'note_source': 'hmm', 'tonic_mode': 'video', 'tonic_refine': True, 'min_dur': 0.0, 'max_cents_dev': 2400.0, 'collapse_repeats': True, 'use_channel': True, 'channel_kw': {'p_self': 0.2, 'prior': 5.0, 'emission_temp': 0.3, 'w_dur': 1.0}, 'base_kw': {'lam_bi': 0.7, 'lam_uni': 0.1, 'uni_from_scale': 0.75}, 'w_crepe': 0.0, 'calibrate': 'zscore', 'marginalise_tonic': True, 'temperature': 0.1}
  top1 0.123±0.030  top5 0.326  vid 0.134  {'tracker': 'tony', 'note_source': 'hmm', 'tonic_mode': 'video', 'tonic_refine': True, 'min_dur': 0.0, 'max_cents_dev': 2400.0, 'collapse_repeats': True, 'use_channel': False, 'channel_kw': {'p_self': 0.2, 'prior': 5.0, 'emission_temp': 0.3, 'w_dur': 1.0}, 'base_kw': {'lam_bi': 0.7, 'lam_uni': 0.1, 'uni_from_scale': 0.75}, 'w_crepe': 1.0, 'calibrate': 'none', 'marginalise_tonic': True, 'temperature': 0.1}
  top1 0.122±0.030  top5 0.306  vid 0.142  {'tracker': 'tony', 'note_source': 'hmm', 'tonic_mode': 'video', 'tonic_refine': True, 'min_dur': 0.0, 'max_cents_dev': 2400.0, 'collapse_repeats': True, 'use_channel': False, 'channel_kw': {'p_self': 0.2, 'prior': 5.0, 'emission_temp': 0.3, 'w_dur': 1.0}, 'base_kw': {'lam_bi': 0.7, 'lam_uni': 0.1, 'uni_from_scale': 0.75}, 'w_crepe': 1.0, 'calibrate': 'none', 'marginalise_tonic': False, 'temperature': 0.1}
  top1 0.121±0.023  top5 0.292  vid 0.127  {'tracker': 'tony', 'note_source': 'hmm', 'tonic_mode': 'video', 'tonic_refine': True, 'min_dur': 0.0, 'max_cents_dev': 2400.0, 'collapse_repeats': True, 'use_channel': True, 'channel_kw': {'p_self': 0.2, 'prior': 5.0, 'emission_temp': 0.3, 'w_dur': 1.0}, 'base_kw': {'lam_bi': 0.7, 'lam_uni': 0.1, 'uni_from_scale': 0.75}, 'w_crepe': 1.0, 'calibrate': 'none', 'marginalise_tonic': False, 'temperature': 0.1}
  top1 0.112±0.031  top5 0.335  vid 0.134  {'tracker': 'tony', 'note_source': 'hmm', 'tonic_mode': 'video', 'tonic_refine': True, 'min_dur': 0.0, 'max_cents_dev': 2400.0, 'collapse_repeats': True, 'use_channel': False, 'channel_kw': {'p_self': 0.2, 'prior': 5.0, 'emission_temp': 0.3, 'w_dur': 1.0}, 'base_kw': {'lam_bi': 0.7, 'lam_uni': 0.1, 'uni_from_scale': 0.75}, 'w_crepe': 0.0, 'calibrate': 'none', 'marginalise_tonic': True, 'temperature': 0.1}
