video,raag,tonic_hz,note,hum_hz,snap_cents,snapped,clip,timestamp
9GlMrtTfSD0,AheerBhairav,164.6773,E3,329.6276,-1.4,yes,train_[9GlMrtTfSD0]_chunk2.mp3,2026-08-22T00:42:45
CWYQDitVT14,AheerBhairav,139.3705,C♯3,278.7883,-0.3,yes,train_[CWYQDitVT14]_chunk1.mp3,2026-08-22T00:43:08
El8HZDRd1-Q,AheerBhairav,141.6856,C♯3,278.7883,28.2,yes,train_[El8HZDRd1-Q]_chunk1.mp3,2026-08-22T00:43:44
W7mameo-mA0,AheerBhairav,166.0909,E3,329.6276,13.4,yes,train_[W7mameo-mA0]_chunk1.mp3,2026-08-22T00:44:10
Wx-9A-mgif8,AheerBhairav,139.1189,C♯3,278.7883,-3.4,yes,train_[Wx-9A-mgif8]_chunk1.mp3,2026-08-22T00:44:35
YIEMBNwkbrw,AheerBhairav,231.7394,A♯3,231.7394,0.0,NO,train_[YIEMBNwkbrw]_chunk1.mp3,2026-08-22T00:45:30
ZfW27iArnns,AheerBhairav,233.6319,A♯3,233.0819,4.1,yes,train_[ZfW27iArnns]_chunk0.mp3,2026-08-22T00:45:47
bUwLHLSoPVw,AheerBhairav,146.7374,D3,293.6648,-1.1,yes,train_[bUwLHLSoPVw]_chunk0.mp3,2026-08-22T00:46:07
jNdHo4mx1Kg,AheerBhairav,234.4987,A♯3,237.1561,-19.5,yes,train_[jNdHo4mx1Kg]_chunk1.mp3,2026-08-22T00:46:29
liI7jbhVdvE,AheerBhairav,145.9470,D3,290.2917,9.5,yes,train_[liI7jbhVdvE]_chunk1.mp3,2026-08-22T00:46:55
p3LfeDd70Ts,AheerBhairav,155.0605,D♯3,300.5289,54.4,yes,test_[p3LfeDd70Ts]_chunk1.mp3,2026-08-22T00:47:24
vlNXldo0YkI,AheerBhairav,235.1348,A♯3,234.4321,5.2,yes,train_[vlNXldo0YkI]_chunk1.mp3,2026-08-22T00:48:11
-I69OvIcF30,AlhaiyaBilawal,237.5603,A♯3,237.1561,2.9,yes,train_[-I69OvIcF30]_chunk1.mp3,2026-08-22T00:49:22
B4_c8xAoZzA,AlhaiyaBilawal,116.4750,A♯2,234.4321,-11.0,yes,train_[B4_c8xAoZzA]_chunk1.mp3,2026-08-22T00:50:02
CKQqC6iPji4,AlhaiyaBilawal,147.2423,D3,295.3660,-5.2,yes,train_[CKQqC6iPji4]_chunk1.mp3,2026-08-22T00:50:34
T1ikRj8wG_M,AlhaiyaBilawal,165.1722,E3,165.7685,-6.2,yes,train_[T1ikRj8wG_M]_chunk1.mp3,2026-08-22T00:50:57
aG3W2G40Lpk,AlhaiyaBilawal,165.2097,E3,165.7685,-5.8,yes,train_[aG3W2G40Lpk]_chunk1.mp3,2026-08-22T00:51:17
mGobQ9ztOnY,AlhaiyaBilawal,146.1705,D3,293.6648,-7.8,yes,train_[mGobQ9ztOnY]_chunk1.mp3,2026-08-22T00:51:35
my5Zh8ze3eY,AlhaiyaBilawal,116.1329,A♯2,233.0819,-6.1,yes,train_[my5Zh8ze3eY]_chunk1.mp3,2026-08-22T00:52:08
oTg3QBVYFSc,AlhaiyaBilawal,138.1763,C♯3,280.4033,-25.2,yes,train_[oTg3QBVYFSc]_chunk1.mp3,2026-08-22T00:52:26
oz0DXZN3Dtk,AlhaiyaBilawal,138.9374,C♯3,277.1826,4.3,yes,train_[oz0DXZN3Dtk]_chunk1.mp3,2026-08-22T00:52:48
p5UIQKN0C7U,AlhaiyaBilawal,145.4516,D3,293.6648,-16.4,yes,train_[p5UIQKN0C7U]_chunk1.mp3,2026-08-22T00:53:12
8ldBWSCfR0Q,Bageshree,145.5612,D3,291.9734,-5.1,yes,train_[8ldBWSCfR0Q]_chunk1.mp3,2026-08-22T00:53:34
FCw-Jo9_P8o,Bageshree,230.4572,A♯3,234.4321,-29.6,yes,train_[FCw-Jo9_P8o]_chunk1.mp3,2026-08-22T00:54:34
IaWMS9vmWRM,Bageshree,147.0047,D3,291.9734,12.0,yes,train_[IaWMS9vmWRM]_chunk1.mp3,2026-08-22T00:55:10
QaE7GojryQE,Bageshree,139.6166,C♯3,278.7883,2.8,yes,train_[QaE7GojryQE]_chunk1.mp3,2026-08-22T00:55:36
SOlaeP1ctQQ,Bageshree,116.8553,A♯2,234.4321,-5.3,yes,test_[SOlaeP1ctQQ]_chunk1.mp3,2026-08-22T00:55:50
p36qxVRg6kw,Bageshree,155.3485,D♯3,307.5534,17.6,yes,train_[p36qxVRg6kw]_chunk1.mp3,2026-08-22T16:02:42
rUoWx__itDo,Bageshree,233.0912,A♯3,466.1638,0.1,yes,train_[rUoWx__itDo]_chunk1.mp3,2026-08-22T16:03:13
uPLSOevIK-4,Bageshree,220.0335,A3,221.2744,-9.7,yes,train_[uPLSOevIK-4]_chunk1.mp3,2026-08-22T16:03:48
wJPV6sIjWv4,Bageshree,165.3439,E3,329.6276,5.6,yes,train_[wJPV6sIjWv4]_chunk1.mp3,2026-08-22T16:04:09
8W1n5O7eDa0,Bahar,168.2531,E3,335.3893,5.8,yes,train_[8W1n5O7eDa0]_chunk1.mp3,2026-08-22T16:05:59
Lvt3TKj2pvM,Bahar,167.7542,E3,337.3322,-9.4,yes,train_[Lvt3TKj2pvM]_chunk1.mp3,2026-08-22T16:06:20
cnBqvwZ-Wio,Bahar,156.0819,D♯3,309.3350,15.8,yes,train_[cnBqvwZ-Wio]_chunk1.mp3,2026-08-22T16:07:03
jhT45HzPDoI,Bahar,155.3654,D♯3,314.7421,-22.2,yes,test_[jhT45HzPDoI]_chunk1.mp3,2026-08-22T16:07:21
1ev7MmUkcyU,Bairagi,138.5214,C♯3,275.5862,9.1,yes,train_[1ev7MmUkcyU]_chunk1.mp3,2026-08-22T16:07:49
8YITuUf2sn8,Bairagi,138.7991,C♯3,275.5862,12.6,yes,train_[8YITuUf2sn8]_chunk1.mp3,2026-08-22T16:08:09
9JLAuhZscAE,Bairagi,166.4048,E3,331.5371,6.6,yes,train_[9JLAuhZscAE]_chunk0.mp3,2026-08-22T16:08:29
ZDRahtYC3Ls,Bairagi,126.8631,B2,252.7136,6.9,yes,train_[ZDRahtYC3Ls]_chunk1.mp3,2026-08-22T16:08:49
bn9kOK1RWaQ,Bairagi,153.3569,D♯3,312.9293,-34.7,yes,train_[bn9kOK1RWaQ]_chunk1.mp3,2026-08-22T16:09:06
d5UV-ISRXNw,Bairagi,167.2849,E3,333.4576,5.8,yes,train_[d5UV-ISRXNw]_chunk1.mp3,2026-08-22T16:09:28
l5u33mnASxA,Bairagi,167.3378,E3,335.3893,-3.7,yes,train_[l5u33mnASxA]_chunk1.mp3,2026-08-22T16:09:54
oj-JgTjzmb4,Bairagi,154.6614,D♯3,311.1270,-10.1,yes,train_[oj-JgTjzmb4]_chunk1.mp3,2026-08-22T16:10:34
wQsCHZhKlX8,Bairagi,146.8385,D3,297.0770,-19.9,yes,train_[wQsCHZhKlX8]_chunk1.mp3,2026-08-22T16:10:54
